#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ-351	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-351	Sponge	NZ-351
NZ-157_2	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-157_2	Sponge	NZ-157_2
NIWA127200	2017	NIWA	NIWA	NIWA	NIWA	NIWA127200
NIWA127224	2017	NIWA	NIWA	NIWA	NIWA	NIWA127224
NIWA127239	2017	NIWA	NIWA	NIWA	NIWA	NIWA127239
NIWA127245	2017	NIWA	NIWA	NIWA	NIWA	NIWA127245
Tanja5A	2017	Tanja	Tanja5A	Tanja5A	Tanja	Tanja5A
Tanja5B	2017	Tanja	Tanja5B	Tanja5B	Tanja	Tanja5B
Tanja5C	2017	Tanja	Tanja5C	Tanja5C	Tanja	Tanja5C
PS-1069	2017	Sponge	PS-1069	PS-1069	Sponge	PS-1069
